comment_author,comment_time,comment_text,post_url
mundu_ni_waweru,2023-08-19 05:18:41,"@gabriel.grndjn  when gravity is, it bends the curvature of space, when applied in excess as is the case of black holes, it tears a hole in space, is this direction of curvature formation between different bodies in a similar direction and is the existence of gravity the attraction of this existing bodies to the curvature of space by an unknown mass on the other side of the curvature. Could this be where objects pulled by black holes end up and if it makes 80% of the universe could we be orbiting it as a universe.",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
gabriel.grndjn,2023-08-19 00:46:11,"@living_dead_repeat Blackholes are made of matter. They're black because their gravity is so strong it pulls light away from our eyes. Dark matter is a concept that has not been proven, which could explain why our equations don't work with spinning galaxy. To be simple, galaxies need a specific mass in order to be stable, but our equations say that they're only 20% of what they should be. Some people say our equations don't work on galaxies, and others say our equations works, but we need to add something we don't know it exists to make them works",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
ridings02,2023-08-18 21:52:03,@tkost0 Im married to the grind,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
hp_1__,2023-08-18 13:46:33,@1420_caperzap wow thats awesome!! All my knowledge is based on my A level physics so Ill try get a better understanding. Thanks??,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
1420_caperzap,2023-08-18 13:42:38,"@hp_1__ I think we can calculate it by the gravitational lensing. if the universe enough mass then gravitational lensing equation should satisfy ,but if not then we can calculate the missing mass. Same for the acceleration of the universe and the gravitational equation.",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
ucefkh,2023-08-17 23:31:14,I think it's 79% not 80%,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
francesco.bondini,2023-08-17 16:14:16,"@hp_1__ no, wait. In science the word theory doesn't refer to something that hasn't been proven. The word theory is something that describes WHY something happens (big bang theory explaining why of the expansion, relativity theory explaining why gravity), as opposed to LAW which is something that describes HOW something happens (Newton's gravitational law only described how gravity happens under some limitations, not why there is gravity). So in science the world THEORY still referees to something that has been proven multiple times. It is NOT something that has no proof.",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
ademkhalil13,2023-08-16 14:23:43,"And fun fact Einstein ""mistakenly"" discovered it",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
hp_1__,2023-08-16 11:57:07,@3tmn yeah its called theory for a reason,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
hp_1__,2023-08-16 11:53:51,"@mandinga37 we can see the affect dark matter has on the universe due to gravity even though we cannot see it. We came up with dark matter because the mass in the universe that we can observe shouldnt produce enough gravity for galaxies to stay together, so there must be a form of non observable matter holding the universe together.",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
ridings02,2023-07-30 21:53:56,This is just what big dark matter wants you to think so they can sell more dark matter,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
forhnii_m_kamara,2023-07-26 15:24:06,Even the Universe using the 80/20 rule????,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
st3212312,2023-07-25 12:21:07,Dark matter is a matter with Butt ??,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
savagelante,2023-07-24 20:28:12,"How can I apply, please?",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
frank_lo_strano,2023-07-24 19:37:31,"@pranavmahapatra no, she said that when talking about matter (not energy) 20% is baryonic and 80% is dark matter",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
pranavmahapatra,2023-07-24 19:29:51,"@frank_lo_strano all good, but she basically said that the visible matter is 20% and 80% is (dark matter + dark energy) or we don't know what it is",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
vhduuwvisjsjsjdo47e8e8s7hsjwvw,2023-07-24 19:13:46,"I really don't understand why you don't answer my direct message. I asked you a thousand times to say yes or no, that's enough.",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
vhduuwvisjsjsjdo47e8e8s7hsjwvw,2023-07-24 19:13:43,"I really don't understand why you don't answer my direct message. I asked you a thousand times to say yes or no, that's enough.????????",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
frank_lo_strano,2023-07-24 18:57:25,@pranavmahapatra that's the energy of visible matter. Then there is a 26% of dark matter energy and 69% of dark energy,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
chriszell.design,2023-07-24 17:26:36,oh now we gittin somewhere! (stop it donkey!),https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
mandinga37,2023-07-24 16:24:32,"If you dont know what it is, how do you know its 80%? ??",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
masihkabiri33,2023-07-24 16:13:41,"But God knows. Thats the reason why we mostly arise our gratitude to god, expressing the motto in God we trust. ????",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
01_azizbek02,2023-07-24 15:01:43,Where is the link of full video??,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
3tmn,2023-07-24 14:13:41,"Fictional, fabricated, and not proven 100%",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
seyedshahabmehdinia,2023-07-24 14:00:09,Fascinating! The pursuit of understanding dark matter is like solving an intergalactic puzzle.,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
simon.wheal,2023-07-09 07:39:12,"@masihkabiri1 why would you trust a god that created cancer? Nope, never used that phrase, never will",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
dreissman1,2023-02-09 07:11:41,Sorry but you think you know 20%? Is this a joke?,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
sattar9356,2023-02-08 11:31:46,"Amazing dark matter n equally amazing is the effort to explain, explore and investigate it, for which a big hand for mit n its students",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
vincent_h_chamberlain,2024-12-04 15:45:34,"@ke_yhw it can. Coincidences are just that, coincidences. Something that just so happens to happen, no further meaning behind it. You think theres a god because you ran into your friend from kindergarten at the store yesterday? You need to find your brain, its lost",https://www.instagram.com/reel/C5i-ludtRUa/?igsh=b3A3Ynd5YTN1bDI1
mazennoor1,2024-12-04 09:01:08,@dd_davidd  the rest is hydrogen gas clouds and dust and there is no dark energy but there is a  cosmic sphere cover around intire universe,https://www.instagram.com/reel/C5i-ludtRUa/?igsh=b3A3Ynd5YTN1bDI1
dd_davidd,2024-12-04 08:50:33,@shortye30 ??,https://www.instagram.com/reel/C5i-ludtRUa/?igsh=b3A3Ynd5YTN1bDI1
dd_davidd,2024-12-04 08:49:54,"Everything we know about in the Universe, all the galaxies etc., adds up to only around 3% of everything there is. The rest is totally unknown to us and is therefore ""dark"" to us (i.e. is unknown).",https://www.instagram.com/reel/C5i-ludtRUa/?igsh=b3A3Ynd5YTN1bDI1
mazennoor1,2024-11-04 13:16:33,@emersonmcz74 God the creator of everything with his hand,https://www.instagram.com/reel/C5i-ludtRUa/?igsh=b3A3Ynd5YTN1bDI1
mazennoor1,2024-11-04 13:13:57,"90% of the matter in the universe is hydrogen gas , 10% dust which we call it a  new particles",https://www.instagram.com/reel/C5i-ludtRUa/?igsh=b3A3Ynd5YTN1bDI1
centenarianbound,2024-11-04 04:26:57,"Guesses , theories, ??. Admit it, God created the universe period. Thank you my loving God. ????",https://www.instagram.com/reel/C5i-ludtRUa/?igsh=b3A3Ynd5YTN1bDI1
tessgretten,2024-11-04 03:13:55,@talkciscity what lie?,https://www.instagram.com/reel/C5i-ludtRUa/?igsh=b3A3Ynd5YTN1bDI1
