,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
53,,@CarpetCleaner21,"2024-04-07 06:06:17",0,no,no,"“Dark matter kinda like curse energy ngl” I swear mfs who make edits didn’t pass elementary school",UCsSDv4aaAk8GfBs8Pj0-RGQ,UgxTVXRDltUNryuN3iF4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgxTVXRDltUNryuN3iF4AaABAg
54,,@EndEairai,"2024-04-07 08:00:25",0,no,no,"gege said gojos abilites are based of this legit",UCtWA1nbKMN2hEE6fHebSoqg,UgwZh9neojpl2cNlUCF4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgwZh9neojpl2cNlUCF4AaABAg
55,,@rachanabondade6213,"2024-04-07 08:03:53",0,no,no,"Bro why dis gojo and sukuna show up",UC7kVRK5dJWlJgmHEG6ffnfw,Ugz8dnTOU0EFNlOakcp4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugz8dnTOU0EFNlOakcp4AaABAg
56,,@rachanabondade6213,"2024-04-07 08:04:14",0,no,no,"Nd sukunas laugh gors hard",UC7kVRK5dJWlJgmHEG6ffnfw,UgwVp0AnFqppyaTcZpZ4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgwVp0AnFqppyaTcZpZ4AaABAg
57,,@PK.RAGENT,"2024-04-07 11:42:57",2,no,no,"- UNIVERSE -
In front of GOD 🤏",UCJafh-eAG5fgObugJIfNK_g,Ugzin8wAH2eCofcmoKN4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugzin8wAH2eCofcmoKN4AaABAg
58,,@MomentoMori-tf9wf,"2024-04-07 14:13:24",0,no,no,Wow,UCxAZ6-7dIvzHcNaQl9BtP7g,UgygqXViwmybgfqkMN94AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgygqXViwmybgfqkMN94AaABAg
59,,@frostfirgaming-tv2bj,"2024-04-07 15:24:19",0,no,no,"sukuna curse engry",UCtt0Arg29_8KjWdoRrQjICw,UgzAhSHxAJPXLrisoFJ4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgzAhSHxAJPXLrisoFJ4AaABAg
60,,@LeYoKo0,"2024-04-07 18:10:56",0,no,no,"Science🗿 >> God",UCpI2uWMUSTu5e5HxLtGZ5-g,UgzFDU9Dkw9c2Rcsvwl4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgzFDU9Dkw9c2Rcsvwl4AaABAg
61,,@altagraciasantana3034,"2024-04-07 22:44:04",0,no,no,"So basically a black hole",UCDzMSd2MkkiZlRCjz8OzpoA,UgzHy11m4O7Ndn2k_Ad4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgzHy11m4O7Ndn2k_Ad4AaABAg
62,,@user-ky6bi4bs1q,"2024-04-07 23:12:07",1,no,no,"Bro droped the coldest edit and didn't evan give us a blanket",UCPc9-D0UjF7I3alnLvUCelA,UgzVyiSJNEWcNKotdQJ4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgzVyiSJNEWcNKotdQJ4AaABAg
63,,@mujahidtaliban9491,"2024-04-07 23:38:11",0,no,no,Kurohige,UC37rKZeUZbvyrBLLgMY9B7g,Ugy8ImbQ127YiUmeQEF4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugy8ImbQ127YiUmeQEF4AaABAg
