Exported by,ExportComments.com,,,,,,,
Source URL,https://youtube.com/shorts/PVbGO_SdyPs?si=dUapxM6k3Vh_lMGO,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
99,,@hyattahmad,20/06/23 02:35:33,0,no,no,"Indian scientist relly exist .where modi discover seavrage gass to cook ,and Radar which didnt intercept objetcs during clouds and indian scientsit clap",view comment
100,,@sanisingh7779,20/06/23 03:00:55,1,no,no,"Sar ji 
Jab Duniya me hunar mand logo ko mauka nahi milega to yahi hoga aap kabhi  uniarsh ko nahi samajh payenge",view comment
101,,@mangeshsodnar8426,20/06/23 04:55:34,0,no,no,You mean astronomers?,view comment
102,,@elon-gatedMusk-rat,20/06/23 07:33:20,1,no,no,You copied ab English video,view comment
103,,@shivamkshtriya89,20/06/23 08:09:57,0,no,no,?? ???? ?????? ?? ??? ???? ??? ?? ???? ??? ????????,view comment
104,,@awarenessflame7093,20/06/23 08:33:33,1,no,no,Ur fact is wrong Dark matter is only 25% and not 73%...ITS DARK ENERGY,view comment
105,,@beautifulassam8810,20/06/23 11:39:16,0,no,no,"Dark Mater yani ki shiv , Tara yani ki ???",view comment
106,,@subhashreemukherjee8326,20/06/23 11:45:15,0,no,no,What about Black neutron star? Is this only a hypothesis?,view comment
107,,@thirdmasteraamirkhan5410,20/06/23 15:36:13,0,no,no,Astrologers: kuch bhi keh do kon dekhne Jaa raha hai ??????,view comment
108,,@pintusah8298,20/06/23 15:40:50,2,no,no,Dark mater ek megnetic fild hai jo mater ko aapni or khichta hai kyonki uski magnetic ?? fild bahut jyada hota hai.,view comment
109,,@parijatchowdhury1239,20/06/23 16:21:11,0,no,no,Not astronaut  .....burbak ....astronomer,view comment
110,,@abduljalil9862,20/06/23 17:31:30,0,no,no,God  created no one known what is   ? so many secret  and mystery,view comment
111,,@mjjakhar1700,20/06/23 21:03:56,0,no,no,Imagine yu roaming in space in 2100 and suddenly gets burnt by the invisible star ?? xd,view comment
112,,@rapescoalexmedhina5737,20/06/23 21:18:44,0,no,no,Put some subtitles,view comment
